plot,D,R,E,year,nitrogen,precipitation,block
1,2.559017337,11,0.23263794,2012,1,1,1
2,4.116920543,11,0.374265504,2012,1,0,1
3,3.575898444,13,0.275069111,2012,0,1,1
4,4.740459825,11,0.430950893,2012,0,0,1
5,4.974505659,13,0.382654281,2012,0,0,2
6,4.764740917,13,0.366518532,2012,0,1,2
7,6.18907628,11,0.562643298,2012,1,1,2
8,6.427767958,10,0.642776796,2012,1,0,2
9,9.467455621,11,0.860677784,2012,1,0,3
10,5.115743701,11,0.465067609,2012,0,1,3
11,7.733952049,12,0.644496004,2012,1,1,3
12,3.777504958,11,0.343409542,2012,0,0,3
1,1.767799532,12,0.147316628,2013,1,1,1
2,2.177581795,10,0.21775818,2013,1,0,1
3,2.355296473,11,0.214117861,2013,0,1,1
4,1.923261852,12,0.160271821,2013,0,0,1
5,2.923762883,12,0.243646907,2013,0,0,2
6,4.650081376,13,0.357698567,2013,0,1,2
7,1.220219029,10,0.122021903,2013,1,1,2
8,2.147766323,10,0.214776632,2013,1,0,2
9,1.515381118,9,0.16837568,2013,1,0,3
10,3.091190108,11,0.281017283,2013,0,1,3
11,2.298586369,11,0.208962397,2013,1,1,3
12,2.027369488,11,0.184306317,2013,0,0,3
1,1.521838381,10,0.152183838,2014,1,1,1
2,2.10925965,11,0.191750877,2014,1,0,1
3,2.230773521,12,0.185897793,2014,0,1,1
4,2.477240354,14,0.17694574,2014,0,0,1
5,3.525782283,10,0.352578228,2014,0,0,2
6,2.527167046,10,0.252716705,2014,0,1,2
7,1.853310476,10,0.185331048,2014,1,1,2
8,2.550857726,10,0.255085773,2014,1,0,2
9,2.430576654,13,0.186967435,2014,1,0,3
10,2.146728922,12,0.178894077,2014,0,1,3
11,1.89098473,9,0.210109414,2014,1,1,3
12,2.970664686,11,0.270060426,2014,0,0,3
1,0.867039494,8,0.108379937,2018,1,1,1
2,1.125967628,8,0.140745954,2018,1,0,1
3,1.035974204,4,0.258993551,2018,0,1,1
4,1.038583372,6,0.173097229,2018,0,0,1
5,1.183992422,4,0.295998106,2018,0,0,2
6,1.064962726,8,0.133120341,2018,0,1,2
7,1.066695112,6,0.177782519,2018,1,1,2
8,1.235864796,6,0.205977466,2018,1,0,2
9,1.04297038,7,0.148995769,2018,1,0,3
10,1.088553856,5,0.217710771,2018,0,1,3
11,1.100806341,7,0.157258049,2018,1,1,3
12,1.235941169,4,0.308985292,2018,0,0,3
1,0.368756548,9,0.04097295,2019,1,1,1
2,0.66981567,9,0.074423963,2019,1,0,1
3,0.261540153,9,0.029060017,2019,0,1,1
4,0.480287169,10,0.048028717,2019,0,0,1
5,0.495664961,6,0.082610827,2019,0,0,2
6,0.659606105,6,0.109934351,2019,0,1,2
7,0.48606961,5,0.097213922,2019,1,1,2
8,0.317127233,6,0.052854539,2019,1,0,2
9,0.653213197,7,0.093316171,2019,1,0,3
10,0.902337681,6,0.150389613,2019,0,1,3
11,0.44061725,9,0.048957472,2019,1,1,3
12,0.443536419,5,0.088707284,2019,0,0,3
